GUID,商品,价格,所属品牌,产地,售后服务,包装规格,产品毛重,主体,品牌,型号,颜色,上市年份,上市月份,输入方式,智能机,3G视频通话,操作系统,操作系统版本,CPU品牌,CPU型号,CPU频率,CPU核数,CPU说明,GPU,用户界面,运营商标志或内容,网络,4G网络制式,3G网络制式,2G网络制式,网络制式,网络频率,数据业务,,双卡机类型,其它,存储,机身内存,运行内存,闪存属性(DDR),储存卡类型,最大存储扩展,可用空间,显示,屏幕尺寸,触摸屏,分辨率,PPI,屏幕材质,副屏参数,超大字体,屏幕色彩,重力感应,光线传感器,距离感应,3D加速,电子罗盘,DLNA,陀螺仪,感应器,GPS模块,重力感应,光线感应,电子罗盘,陀螺仪,摄像功能,摄像头,副摄像头,传感器类型,闪光灯,视频拍摄,连拍功能,变焦模式,自动对焦,拍摄模式,拍摄场景,照片分辨率,其他性能,,,,娱乐功能,收音机,音乐播放,视频播放,内置软件,电视播放,录音,电子书,内置游戏,JAVA,彩信功能,铃音类型,Flash播放,传输功能,GPS模块（硬件）,Wi-Fi,蓝牙,NFC(近场通讯),WIFI热点,OTG,其他,Modem,PC数据同步,地图软件,蓝牙文件传输,个人助理,Office,电子邮件,计算器,闹钟,录音,通话录音,自动开机,后台操作,后台QQ,炒股软件,其它,,,,,,其他,SIM卡尺寸,NFC(近场通讯),电池型号,电池类型,电池容量（mAh）,电池更换,理论通话时间（小时）,理论待机时间（小时）,数据线,耳机接口,机身尺寸（mm）,,,机身重量（g）,特性,机身材质,其他
1,苹果（APPLE）iPhone 4S 8G版 3G手机（白色）WCDMA/GSM,￥2398.00,苹果,中国大陆,一年质保,,0.342,苹果（APPLE）iPhone 4S 8G版 3G手机（白色）WCDMA/GSM[纠错],苹果（Apple）,iPhone 4S,白色,2012年,--,触控,是,不支持,--,iOS7,--,苹果 A5,800MHz,双核,--,--,--,无,苹果（APPLE）iPhone 4S 8G版 3G手机（白色）WCDMA/GSM[纠错],--,--,--,联通3G（WCDMA）-移动2G/联通2G（GSM）,"UMTS/HSDPA/HSUPA (850, 900, 1900, 2100 MHz) GSM/EDGE (850, 900, 1800, 1900 MHz)",802.11b/g/n WLAN 网络(仅适用于 802.11n 2.4GHz),Bluetooth 4.0 无线技术,--,--,苹果（APPLE）iPhone 4S 8G版 3G手机（白色）WCDMA/GSM[纠错],8GB ROM,512MB RAM,--,不支持,--,--,苹果（APPLE）iPhone 4S 8G版 3G手机（白色）WCDMA/GSM[纠错],3.5 英寸,电容屏，多点触控,640*960,--,IPS,--,--,1600万色,支持,支持,支持,支持,--,--,支持,苹果（APPLE）iPhone 4S 8G版 3G手机（白色）WCDMA/GSM[纠错],--,--,--,--,--,苹果（APPLE）iPhone 4S 8G版 3G手机（白色）WCDMA/GSM[纠错],800万像素,30万像素,CMOS,LED补光灯,支持,--,数码变焦,支持,支持,支持,--,三轴陀螺仪,加速感应器,距离感应器,环境光传感器,苹果（APPLE）iPhone 4S 8G版 3G手机（白色）WCDMA/GSM[纠错],不支持,AAC (8 至 320 Kbps)、Protected AAC (来自 iTunes Store)、HE-AAC、MP3 (8 至 320 Kbps)、MP3 VBR、Audible (格式 2、3、4，Audible Enhanced Audio、AAX 与 AAX+)、Apple Lossless、AIFF 与 WAV,"H.264 视频最高可达 1080p，每秒 30 帧，High Profile level 4.1，采用 AAC-LC 声音格式，最高 160 Kbps，48kHz, 立体声为 .m4v, .mp4 与 .mov 文件格式；MPEG-4 视频最高可达 2.5 Mbps，640 x 480，每秒 30 帧，Simple Profile 采用 AAC-LC 声音格式，每声道最高 160 Kbps，48 KHz，立体声为 .m4v、.mp4 与 .mov 文件格式；Motion JPEG (M-JPEG) 最高可达 35 Mbps，1280 x 720，每秒 30 帧，音频为 ulaw 格式，PCM 立体声为 .avi 文件格式",--,不支持,--,支持,--,--,支持,MP3铃声,--,苹果（APPLE）iPhone 4S 8G版 3G手机（白色）WCDMA/GSM[纠错],自带谷歌地图,支持,支持,--,--,--,--,支持,--,--,--,苹果（APPLE）iPhone 4S 8G版 3G手机（白色）WCDMA/GSM[纠错],.jpg、.tiff、.gif (图像)；.doc 和 .docx (Microsoft Word)； .htm 和 .html (网页)；.key (Keynote)；.numbers (Numbers)；.pages (Pages)；.pdf (Preview 和 Adobe Acrobat)；.ppt 和 .pptx (Microsoft PowerPoint)；.txt (文本)；.rtf (多信息文本格式)；.vcf (联系人信息)；.xls 和 .xlsx (Microsoft Excel),支持,支持,支持,支持,不支持,--,--,--,--,语言支持,英语(美国)、英语(英国)、简体中文、繁体中文、法语、德语、意大利语、日语、韩语、西班牙语、阿拉伯语、加泰罗尼亚语、克罗地亚语、捷克语、丹麦语、荷兰语、芬兰语、希腊语、希伯来语、匈牙利语、印尼语、马来语、挪威语、波兰语、葡萄牙语、葡萄牙语(巴西)、罗马尼亚语、俄语、斯洛伐克语、瑞典语、泰语、土耳其语、乌克兰语、越南语,键盘支持,英语(美国)、英语(英国)、简体中文(手写、拼音、笔画)、繁体中文(手写、拼音、注音、仓颉、笔画)、法语、法语(加拿大)、法语(瑞士)、德语(德国)、德语(瑞士)、意大利语、日语(罗马字、假名)、韩语、西班牙语、阿拉伯语、保加利亚语、加泰罗尼亚语、切罗基语、克罗地亚语、捷克语、丹麦语、荷兰语、表情符号、爱沙尼亚语、芬兰语、佛兰芒语、希腊语、夏威夷语、希伯来语、印地语、匈牙利语、冰岛语、印尼语、拉脱维亚语、立陶宛语、马其顿语、马来语、挪威语、波兰语、葡萄牙语、葡萄牙语(巴西)、罗马尼亚语、俄语、塞尔维亚语(西里尔字母/拉丁字母)、斯洛伐克语、瑞典语、泰语、藏语、土耳其语、乌克兰语、越南语,词典支持(支持预测文本和自动更正),英语(美国)、英语(英国)、简体中文、繁体中文、法语、法语(加拿大)、法语(瑞士)、德语、意大利语、日语(罗马字、假名)、韩语、西班牙语、阿拉伯语、加泰罗尼亚语、切罗基语、克罗地亚语、捷克语、丹麦语、荷兰语、爱沙尼亚语、芬兰语、佛兰芒语、希腊语、夏威夷语、希伯来语、印地语、匈牙利语、印尼语、拉脱维亚语、立陶宛语、马来语、挪威语、波兰语、葡萄牙语、葡萄牙语(巴西)、罗马尼亚语、俄语、斯洛伐克语、瑞典语、泰语、土耳其语、乌克兰语、越南语,苹果（APPLE）iPhone 4S 8G版 3G手机（白色）WCDMA/GSM[纠错],小卡,--,--,内置电池,--,不支持,使用 3G 网络时长达 7 小时 /使用 2G 网络时长达 14 小时,长达 300 小时,苹果30pin,3.5mm,高度： 115.2 毫米 (4.5 英寸),宽度： 58.6 毫米 (2.31 英寸),厚度： 9.3 毫米 (0.37 英寸),重量： 140克 (4.9 盎司),--,--,--
2,努比亚（nubia） 小牛2 Z5S mini 3G手机（白色） WCDMA/TD-SCDMA/EVDO,￥1499.00,努比亚（nubia）,中国大陆,一年质保,台,0.31,努比亚（nubia） 小牛2 Z5S mini 3G手机（白色） WCDMA/TD-SCDMA/EVDO[纠错],努比亚（nubia）,Z5S mini,白色,2013年12月,--,触控,是,可以通过第三方软件实现类似功能，如QQ视频,--,Android 4.2,--,8064,1.7GHz,骁龙600四核,--,Adreno320,--,无,努比亚（nubia） 小牛2 Z5S mini 3G手机（白色） WCDMA/TD-SCDMA/EVDO[纠错],--,--,--,EVDO（3G)、WCDMA(3G)、TD-SCDMA(3G）,WCDMA：2100M EVDO：800M TD_SCDMA 1900M/2000M GSM：850M/900M/1800M/1900M,--,,--,--,努比亚（nubia） 小牛2 Z5S mini 3G手机（白色） WCDMA/TD-SCDMA/EVDO[纠错],16GB ROM,2GB RAM,--,MicroSD(TF),32GB,--,努比亚（nubia） 小牛2 Z5S mini 3G手机（白色） WCDMA/TD-SCDMA/EVDO[纠错],4.7吋,电容屏,1280*720,--,TFT,--,支持,1600万色,支持,--,支持,--,支持,--,支持,努比亚（nubia） 小牛2 Z5S mini 3G手机（白色） WCDMA/TD-SCDMA/EVDO[纠错],--,--,--,--,--,努比亚（nubia） 小牛2 Z5S mini 3G手机（白色） WCDMA/TD-SCDMA/EVDO[纠错],1300万,500万,--,支持,支持,支持,数码变焦,--,支持,支持,最大支持4308×3120像素照片拍摄,独立对焦、独立测光、白平衡,,,,努比亚（nubia） 小牛2 Z5S mini 3G手机（白色） WCDMA/TD-SCDMA/EVDO[纠错],--,"AMR-WB, WAV, MP3, iMelody, Midi ringtone",支持 H.263、H.264、mpeg4,--,需要下载软件,--,--,--,--,"Image： *.jpg,*.gif*.png,*wbmp,*.bmp Audio： *mid, *.midi Video： mp4,3gp",MP3铃声,--,努比亚（nubia） 小牛2 Z5S mini 3G手机（白色） WCDMA/TD-SCDMA/EVDO[纠错],支持,极速双频WIFI,V4.0,--,支持,支持,--,支持,支持,--,支持,努比亚（nubia） 小牛2 Z5S mini 3G手机（白色） WCDMA/TD-SCDMA/EVDO[纠错],支持,支持,支持,支持,支持,支持,--,支持,--,--,--,,,,,,努比亚（nubia） 小牛2 Z5S mini 3G手机（白色） WCDMA/TD-SCDMA/EVDO[纠错],小卡,--,--,锂电池,2000mah,--,约 400 分钟，跟网络环境有关,--,--,3.5mm,134.8*65.7*7.6 mm,,,120g,--,--,--
3,华为 荣耀3X （白色）双卡双待 3G手机 TD-SCDMA/WCDMA/GSM 套装版,￥1858.00,华为（HUAWEI）[8557],中国大陆,一年质保,台,0.37,华为 荣耀3X （白色）双卡双待 3G手机 TD-SCDMA/WCDMA/GSM 套装版[纠错],华为（HUAWEI）,荣耀3X,白色,2014年3月,--,触控,是,可以通过安装视频通话软件支持数据域的视频通话,--,Android 4.2,--,ARM Mali 450-MP4,1.7GHz,八核,--,MTK 6592,Emotion UI 2.0,无,华为 荣耀3X （白色）双卡双待 3G手机 TD-SCDMA/WCDMA/GSM 套装版[纠错],--,--,--,TD-SCDMA/WCDMA/GSM，支持中国联通3G和中国移动3G/2G,2G：GSM 850/900/1800/1900MHz；双3G：WCDMA 900/1900/2100MHz TD-SCDMA A+F频段,"GPRS/EDGE/WCDMA/WCDMA HSPA+(DL：21Mbps,UL：5.76Mbps)/TD-SCDMA/TD-HSPA（DL：2.8Mpbs,UL：2.2Mbps）",,双模双待单通,--,华为 荣耀3X （白色）双卡双待 3G手机 TD-SCDMA/WCDMA/GSM 套装版[纠错],8GB ROM,2GB RAM,--,MicroSD(TF),32GB,--,华为 荣耀3X （白色）双卡双待 3G手机 TD-SCDMA/WCDMA/GSM 套装版[纠错],5.5英寸，16：9,电容屏,1280*720,--,IPS,--,支持,1600万色,支持,支持,支持,--,支持,支持,--,华为 荣耀3X （白色）双卡双待 3G手机 TD-SCDMA/WCDMA/GSM 套装版[纠错],--,--,--,--,--,华为 荣耀3X （白色）双卡双待 3G手机 TD-SCDMA/WCDMA/GSM 套装版[纠错],"1300万像素，堆栈式摄像头,F2.2光圈。",500万像素，22mm大广角，单像素尺寸达到1.4微米,CMOS,LED补光灯,主摄像头支持FHD全高清摄像。副摄像头支持HD 720P高清摄像。,支持,数码变焦,支持,支持四向全景自拍、声控拍照、留声照片、智能、全景、笑脸、美肤、连拍、HDR、特效等模式,支持,最大支持4160×3120像素照片拍摄,--,,,,华为 荣耀3X （白色）双卡双待 3G手机 TD-SCDMA/WCDMA/GSM 套装版[纠错],支持,音频编码：AAC/AAC+/AMR/AWB/MP3/VORBIS/FLAC/APE/MIDI/IMELODY/WAV 音频文件格式：mp3、mp4、3gp、wma、ogg、amr、aac、flac、wav、midi,视频编码：MPEG4/H.265(部分文件格式)/H.264/H.263/VP8 视频文件格式：3gp、mp4 支持1080P播放,--,不支持,--,支持,是,--,支持,MP3铃声,支持,华为 荣耀3X （白色）双卡双待 3G手机 TD-SCDMA/WCDMA/GSM 套装版[纠错],支持A-GPS,支持802.11 b/g/n，最高150Mbps超高速率,支持,--,支持,--,--,--,支持,--,支持,华为 荣耀3X （白色）双卡双待 3G手机 TD-SCDMA/WCDMA/GSM 套装版[纠错],支持,支持,支持,支持,支持,--,--,--,--,--,--,,,,,,华为 荣耀3X （白色）双卡双待 3G手机 TD-SCDMA/WCDMA/GSM 套装版[纠错],一个标准SIM卡（大卡），一个Micro SIM卡（小卡）。双卡双待，两个卡都支持TD-SCDMA和WCDMA，可以同时插这两种3G的SIM卡。,--,--,Li-Polymer 锂聚合物电池,3000mAh(典型值),支持,3G通话：22.5小时；注：实际使用时间取决于多种因素,待机：385小时，3G通话：22.5小时，音乐：57.5小时，视频播放：15.4小时，WLAN上网：11.4小时，3G上网：10.4小时，电子书：12.3小时，游戏：7.9小时。注：实际使用时间取决于多种因素。,Micro USB,3.5mm,149.5mm×77.4mm×8.9mm,,,约162克（含电池）,--,--,--
4,三星 Galaxy Note3 N9009 16G版 电信3G手机（简约白）CDMA2000/GSM 双模双待双通,￥3999.00,三星,中国大陆,一年质保,,0.434,三星 Galaxy Note3 N9009 16G版 电信3G手机（简约白）CDMA2000/GSM 双模双待双通[纠错],三星（SAMSUNG）,Note3 N9009,白色,2013年9月,--,S-pen,是,不支持,--,Android 4.3,--,--,2.3GHz,四核,--,--,--,在外包装、在机身、在开机画面、在内置应用,三星 Galaxy Note3 N9009 16G版 电信3G手机（简约白）CDMA2000/GSM 双模双待双通[纠错],--,--,--,电信3G/2G（CDMA2000）-移动2G/联通2G（GSM）,"CDMA 800/1,900MHz,GSM 850/900/1,800/1,900MHz",CDMA 1X，EVDO rev.A,,--,--,三星 Galaxy Note3 N9009 16G版 电信3G手机（简约白）CDMA2000/GSM 双模双待双通[纠错],16GB ROM,3GB RAM,--,MicroSD(TF),64GB,--,三星 Galaxy Note3 N9009 16G版 电信3G手机（简约白）CDMA2000/GSM 双模双待双通[纠错],5.7英寸,电容屏,1920*1080,--,Super AMOLED,--,--,1600万色,支持,支持,支持,支持,支持,--,支持,三星 Galaxy Note3 N9009 16G版 电信3G手机（简约白）CDMA2000/GSM 双模双待双通[纠错],--,--,--,--,--,三星 Galaxy Note3 N9009 16G版 电信3G手机（简约白）CDMA2000/GSM 双模双待双通[纠错],1300万像素,200万像素,BIS CMOS,LED补光灯,全高清1080p录制,支持,--,支持,支持,支持,最大支持4128×3096像素照片拍摄,--,,,,三星 Galaxy Note3 N9009 16G版 电信3G手机（简约白）CDMA2000/GSM 双模双待双通[纠错],--,支持,支持,Samsung特色功能软件,不支持,--,支持,--,--,支持,MP3铃声,支持,三星 Galaxy Note3 N9009 16G版 电信3G手机（简约白）CDMA2000/GSM 双模双待双通[纠错],支持GPS，A-GPS，GLONASS,WiFi 802.11 a/b/g/n/ac,支持,--,支持,支持,--,--,--,--,支持,三星 Galaxy Note3 N9009 16G版 电信3G手机（简约白）CDMA2000/GSM 双模双待双通[纠错],支持,支持,支持,支持,支持,支持,--,支持,支持,支持,--,,,,,,三星 Galaxy Note3 N9009 16G版 电信3G手机（简约白）CDMA2000/GSM 双模双待双通[纠错],小卡＋小卡,支持,--,锂电池,3200 mAh,支持,--,--,Mini USB,3.5mm,151.2 x 79.1 x 8.3mm,,,168g,支持S PEN智能控制,--,--
